Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03 00:00:00+05:30,42170.94921875,42740.0,41626.0,42506.8515625,42412.30859375,4896
2022-01-04 00:00:00+05:30,42500.0,42608.0,41500.1484375,42212.05078125,42118.1640625,11673
2022-01-05 00:00:00+05:30,42214.69921875,43690.69921875,41964.55078125,43366.3984375,43269.94140625,16547
2022-01-06 00:00:00+05:30,43300.0,43300.0,42386.0,42905.75,42810.3203125,6839
2022-01-07 00:00:00+05:30,43107.0,43550.0,42727.3515625,43067.8984375,42972.10546875,3785
2022-01-10 00:00:00+05:30,43241.3515625,44300.0,43016.1484375,43556.3515625,43459.47265625,4897
2022-01-11 00:00:00+05:30,43555.0,43762.5,43300.94921875,43541.0,43444.15625,2900
2022-01-12 00:00:00+05:30,43600.0,43970.0,43463.1015625,43637.44921875,43540.390625,11700
2022-01-13 00:00:00+05:30,43650.0,44200.0,43417.1015625,44106.19921875,44008.09765625,7746
2022-01-14 00:00:00+05:30,44000.0,44850.0,43850.69921875,44556.19921875,44457.09765625,3932
2022-01-17 00:00:00+05:30,44500.0,46250.0,44300.05078125,46018.44921875,45916.09375,9944
2022-01-18 00:00:00+05:30,46030.0,46397.69921875,44967.1015625,45015.44921875,44915.32421875,4863
2022-01-19 00:00:00+05:30,44800.0,45877.6484375,44306.0,45528.1484375,45426.8828125,4025
2022-01-20 00:00:00+05:30,45311.0,45555.6484375,44992.1015625,45198.05078125,45097.51953125,3172
2022-01-21 00:00:00+05:30,45099.0,45099.0,42326.55078125,43863.75,43766.1875,5725
2022-01-24 00:00:00+05:30,43863.0,43863.0,41994.0,42214.6484375,42120.75390625,2780
2022-01-25 00:00:00+05:30,42213.0,43229.19921875,40877.8515625,42862.05078125,42766.71484375,3622
2022-01-27 00:00:00+05:30,41800.0,43000.0,40611.25,42281.75,42187.70703125,12228
2022-01-28 00:00:00+05:30,42899.0,43212.19921875,41698.80078125,41901.30078125,41808.10546875,2260
2022-01-31 00:00:00+05:30,42699.94921875,43383.8984375,40644.3515625,42810.44921875,42715.23046875,6628
2022-02-01 00:00:00+05:30,43099.8984375,45198.94921875,42400.0,44310.25,44211.6953125,16128
2022-02-02 00:00:00+05:30,44310.25,46200.0,44310.25,46086.1015625,45983.59765625,7632
2022-02-03 00:00:00+05:30,46010.0,46250.0,45751.0,45915.3515625,45813.2265625,2742
2022-02-04 00:00:00+05:30,45915.3515625,45915.3515625,44444.0,44677.8515625,44578.48046875,5134
2022-02-07 00:00:00+05:30,44777.0,45199.75,44000.1015625,44992.1484375,44892.078125,3088
2022-02-08 00:00:00+05:30,45000.0,45469.44921875,44114.80078125,44493.0,44394.0390625,3877
2022-02-09 00:00:00+05:30,44351.0,44782.3984375,44200.1484375,44332.80078125,44234.1953125,1274
2022-02-10 00:00:00+05:30,44687.19921875,45100.25,43917.5,44871.80078125,44771.99609375,2943
2022-02-11 00:00:00+05:30,44601.0,45047.44921875,43289.80078125,43511.19921875,43414.421875,3750
2022-02-14 00:00:00+05:30,41990.0,42199.8515625,40900.0,41163.30078125,41071.74609375,18603
2022-02-15 00:00:00+05:30,41000.05078125,41917.55078125,40625.0,41561.6484375,41469.20703125,6733
2022-02-16 00:00:00+05:30,41500.0,42110.8515625,41123.3984375,41778.6015625,41685.67578125,5665
2022-02-17 00:00:00+05:30,41788.94921875,42269.3515625,39611.25,42070.05078125,41976.4765625,3548
2022-02-18 00:00:00+05:30,41880.0,42030.0,40152.19921875,40565.3984375,40475.171875,5843
2022-02-21 00:00:00+05:30,40444.0,40933.69921875,39810.1015625,40642.6015625,40552.203125,5553
2022-02-22 00:00:00+05:30,40005.0,41260.8515625,39666.0,40692.55078125,40602.04296875,9293
2022-02-23 00:00:00+05:30,40980.0,41107.19921875,40454.55078125,40737.1015625,40646.4921875,3119
2022-02-24 00:00:00+05:30,40390.0,40888.5,39400.1015625,39768.05078125,39679.59765625,9299
2022-02-25 00:00:00+05:30,40200.0,40999.94921875,40200.0,40358.5,40268.734375,2770
2022-02-28 00:00:00+05:30,40261.0,41262.44921875,39750.1015625,40950.94921875,40859.8671875,2356
2022-03-02 00:00:00+05:30,40767.0,41200.0,39749.19921875,40441.44921875,40351.5,4858
2022-03-03 00:00:00+05:30,40801.0,41250.0,40500.0,40504.1484375,40414.05859375,1294
2022-03-04 00:00:00+05:30,40453.55078125,40453.55078125,38900.5,39175.19921875,39088.06640625,8416
2022-03-07 00:00:00+05:30,38516.0,39949.94921875,38025.1015625,39488.8984375,39401.06640625,3860
2022-03-08 00:00:00+05:30,39285.1484375,40190.5,38701.0,39053.94921875,38967.0859375,3945
2022-03-09 00:00:00+05:30,39648.80078125,40500.0,39300.5,40370.30078125,40280.5078125,3243
2022-03-10 00:00:00+05:30,40998.0,41000.0,40000.0,40089.94921875,40000.78125,2761
2022-03-11 00:00:00+05:30,39800.0,40589.94921875,39682.05078125,39919.5,39830.7109375,3445
2022-03-14 00:00:00+05:30,39825.0,40462.19921875,39825.0,40214.05078125,40124.60546875,1853
2022-03-15 00:00:00+05:30,40030.0,40498.1484375,40000.6015625,40238.80078125,40149.30078125,1980
2022-03-16 00:00:00+05:30,40325.0,40640.0,39860.25,39961.69921875,39872.81640625,1820
2022-03-17 00:00:00+05:30,40298.0,40852.94921875,38850.0,39412.8984375,39325.234375,7441
2022-03-21 00:00:00+05:30,39618.0,39669.8515625,39215.05078125,39557.44921875,39469.46484375,3535
2022-03-22 00:00:00+05:30,39250.0,39905.0,39000.8515625,39328.1484375,39240.67578125,1649
2022-03-23 00:00:00+05:30,39499.69921875,39551.0,38900.0,39112.3984375,39025.40625,2422
2022-03-24 00:00:00+05:30,39130.1015625,39449.0,38400.0,38935.3984375,38848.796875,6020
2022-03-25 00:00:00+05:30,38989.0,39160.1015625,38348.05078125,38413.3515625,38327.9140625,6710
2022-03-28 00:00:00+05:30,38555.05078125,39047.94921875,37950.0,38597.6015625,38511.75390625,7221
2022-03-29 00:00:00+05:30,38981.69921875,39489.5,38010.0,38964.8984375,38878.234375,4721
2022-03-30 00:00:00+05:30,39299.94921875,40028.8515625,38750.0,39937.69921875,39848.87109375,3866
2022-03-31 00:00:00+05:30,39937.69921875,40621.44921875,39222.0,39676.80078125,39588.55078125,10705
2022-04-01 00:00:00+05:30,39680.1484375,39899.94921875,39458.94921875,39764.75,39676.3046875,1325
2022-04-04 00:00:00+05:30,39500.0,40249.0,39459.0,39866.6015625,39777.9296875,2609
2022-04-05 00:00:00+05:30,40090.0,40099.8984375,39750.1015625,39859.8515625,39771.1953125,1345
2022-04-06 00:00:00+05:30,39750.0,39967.55078125,39511.0,39673.1015625,39584.859375,7644
2022-04-07 00:00:00+05:30,39777.0,41100.0,39421.19921875,40972.8515625,40881.71875,4794
2022-04-08 00:00:00+05:30,40934.94921875,41651.0,40542.30078125,40794.6015625,40703.8671875,4389
2022-04-11 00:00:00+05:30,40851.0,41040.8515625,39950.0,40340.69921875,40250.97265625,7129
2022-04-12 00:00:00+05:30,40457.0,40507.0,39641.0,39777.55078125,39689.078125,2209
2022-04-13 00:00:00+05:30,40120.0,40120.0,39455.55078125,40002.69921875,39913.7265625,15779
2022-04-18 00:00:00+05:30,40050.0,40967.0,39515.19921875,40422.6015625,40332.69140625,2867
2022-04-19 00:00:00+05:30,40549.0,40718.8515625,39550.0,40161.94921875,40072.62109375,7754
2022-04-20 00:00:00+05:30,40200.1015625,40589.8984375,39550.0,40318.5,40228.82421875,9264
2022-04-21 00:00:00+05:30,40450.05078125,40900.0,40054.69921875,40719.55078125,40628.98046875,5358
2022-04-22 00:00:00+05:30,40625.3515625,41157.25,40370.1015625,40888.0,40797.0546875,4350
2022-04-25 00:00:00+05:30,40460.0,41110.0,39917.3515625,40849.5,40758.640625,3931
2022-04-26 00:00:00+05:30,41109.0,41500.0,40700.0,41408.80078125,41316.69921875,2911
2022-04-27 00:00:00+05:30,41301.0,41301.0,40714.8984375,40856.1484375,40765.27734375,6538
2022-04-28 00:00:00+05:30,41000.1484375,41280.8515625,40800.0,41069.80078125,40978.453125,5478
2022-04-29 00:00:00+05:30,40942.0,40999.19921875,39470.05078125,40117.1484375,40027.91796875,5440
2022-05-02 00:00:00+05:30,39631.0,40500.0,39631.0,40299.80078125,40210.1640625,3374
2022-05-04 00:00:00+05:30,40498.94921875,40647.1015625,39140.0,39180.30078125,39093.15625,2043
2022-05-05 00:00:00+05:30,39534.0,40499.8984375,39241.0,40065.6484375,39976.53515625,8349
2022-05-06 00:00:00+05:30,39645.0,39884.80078125,39156.19921875,39792.5,39703.9921875,5485
2022-05-09 00:00:00+05:30,39680.0,39680.0,38871.19921875,39054.0,38967.13671875,1692
2022-05-10 00:00:00+05:30,38900.05078125,39449.0,38410.0,38579.75,38493.94140625,1955
2022-05-11 00:00:00+05:30,38610.1015625,38997.19921875,38266.05078125,38498.19921875,38412.5703125,5123
2022-05-12 00:00:00+05:30,38001.0,38300.0,36700.0,37159.1484375,37076.5,3412
2022-05-13 00:00:00+05:30,36000.0,36234.0,34100.0,34332.1484375,34255.78515625,24056
2022-05-16 00:00:00+05:30,34496.0,34628.0,32050.0,32377.05078125,32305.037109375,16780
2022-05-17 00:00:00+05:30,32500.0,32793.0,32003.0,32678.900390625,32606.21484375,8151
2022-05-18 00:00:00+05:30,32750.0,32999.0,32500.0,32610.25,32537.71875,9065
2022-05-19 00:00:00+05:30,32000.0,32287.44921875,31879.849609375,32004.44921875,31933.265625,6809
2022-05-20 00:00:00+05:30,32300.0,32703.0,31156.69921875,31470.900390625,31400.90234375,8905
2022-05-23 00:00:00+05:30,31587.94921875,32132.0,30813.05078125,31002.94921875,30933.9921875,7879
2022-05-24 00:00:00+05:30,31312.0,31555.0,30840.099609375,31292.44921875,31222.84765625,6503
2022-05-25 00:00:00+05:30,31500.0,31555.0,30609.0,30819.25,30750.701171875,6015
2022-05-26 00:00:00+05:30,30985.0,31112.400390625,30185.349609375,30444.25,30376.53515625,9147
2022-05-27 00:00:00+05:30,30500.0,31631.0,30500.0,31139.099609375,31069.83984375,5917
2022-05-30 00:00:00+05:30,31151.05078125,31917.05078125,31100.0,31279.5,31209.927734375,8116
2022-05-31 00:00:00+05:30,31777.0,32559.900390625,31224.099609375,32191.80078125,32120.19921875,8362
2022-06-01 00:00:00+05:30,32498.0,32498.0,31555.0,31749.099609375,31678.482421875,4924
2022-06-02 00:00:00+05:30,31749.0,31977.94921875,31368.099609375,31818.400390625,31747.62890625,2161
